,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_layer_number,param_neuron_number,params
0,-3.416457458,-2.994798237,-4.094948102,-3.533544913,-3.923049619,-3.592208164,0.387875298,1,-0.918634944,-0.699993948,-1.107009752,-1.3697583,-1.077358757,-1.03455114,0.221274337,235.0412161,3.047785204,0.004625463,0.001892724,3.23E-05,2,236,"{'alpha': 3.2331735469117105e-05, 'layer_number': 2, 'neuron_number': 236}"
1,-50.20225572,-37.14290757,-20.06767476,-32.0259628,-42.2678641,-36.3689995,10.12164792,1,-49.54027805,-36.15812942,-16.90688913,-31.27971761,-34.32512114,-33.64202707,10.44219441,14.67189589,3.553383995,0.001598358,0.001019132,0.020580381,1,12,"{'alpha': 0.020580380601151606, 'layer_number': 1, 'neuron_number': 12}"
2,-3.243175051,-2.741809739,-4.160776731,-3.307404846,-3.987004055,-3.487545344,0.51940118,1,-0.733610414,-0.655480852,-1.130129774,-1.005903617,-1.208802157,-0.946785363,0.217285443,203.6596289,3.475199753,0.003598499,0.001496351,0.001270627,2,235,"{'alpha': 0.0012706272912107784, 'layer_number': 2, 'neuron_number': 235}"
3,-3.684902561,-1.98766813,-3.053431542,-2.39779611,-2.64827356,-2.756271643,0.580831979,1,-1.304061657,-0.848551073,-1.26068192,-1.073564924,-1.061872684,-1.109746452,0.162704604,859.4756381,10.60034703,0.016593218,0.011919709,0.000819077,4,406,"{'alpha': 0.0008190767587988479, 'layer_number': 4, 'neuron_number': 406}"
4,-2.112292982,-2.234615894,-2.405248286,-2.330938281,-3.149401451,-2.4458323,0.364828612,1,-0.727800593,-0.938922987,-0.76744264,-1.006721467,-1.368675042,-0.961912546,0.22830639,258.4309934,1.788325908,0.004797077,0.002038062,2.39E-05,3,227,"{'alpha': 2.3922448373332703e-05, 'layer_number': 3, 'neuron_number': 227}"
5,-4.1321072,-2.971538914,-3.245017857,-2.617429989,-3.53035861,-3.300952823,0.515081626,1,-2.322250198,-1.213384773,-1.124211959,-1.160409938,-1.78107755,-1.520266884,0.467275635,103.6593323,0.535326574,0.002998066,0.001094539,0.006439454,3,111,"{'alpha': 0.0064394541960017026, 'layer_number': 3, 'neuron_number': 111}"
6,-3.744668565,-2.707674761,-3.905786463,-3.535602841,-4.004079039,-3.579891887,0.463495595,1,-1.362299753,-1.021193151,-1.301453124,-1.282222621,-1.240880857,-1.241609901,0.116945047,119.3393971,1.042545942,0.004596853,0.002575586,3.96E-05,2,152,"{'alpha': 3.962980603819534e-05, 'layer_number': 2, 'neuron_number': 152}"
7,-5.919267413,-5.59911383,-7.437687197,-5.587511137,-5.973723319,-6.103092928,0.685147188,1,-2.605951251,-2.744630085,-2.496365548,-2.493807247,-2.600070513,-2.588164929,0.091945571,158.8366525,1.555921704,0.004197598,0.002784189,0.00025284,1,277,"{'alpha': 0.0002528395884119908, 'layer_number': 1, 'neuron_number': 277}"
8,-3.876753583,-3.987518049,-3.154723695,-2.799897293,-4.193450524,-3.603016104,0.532028466,1,-1.06009085,-1.715076309,-0.841092106,-1.073833035,-1.350962801,-1.20821102,0.300687152,152.4167796,2.279356839,0.006796646,0.006142818,0.003980975,2,184,"{'alpha': 0.003980975274803172, 'layer_number': 2, 'neuron_number': 184}"
9,-2.381362022,-1.965327182,-2.6607147,-2.079195169,-2.186443023,-2.25486142,0.244805962,1,-0.763560392,-0.598964486,-0.64453642,-0.643544179,-0.56205809,-0.642532713,0.067863233,665.1812514,6.505778147,0.00899663,0.007636625,1.31E-05,3,399,"{'alpha': 1.3086926156876014e-05, 'layer_number': 3, 'neuron_number': 399}"
