,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__gamma,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__min_child_weight,param_estimator__n_estimators,param_estimator__subsample,params
0,-718.4952738350098,-750.3709925725801,-712.2244977405596,-741.8540560269817,-744.536822240323,-733.4663862582444,15.191831563190089,1,-726.0004684881611,-721.6377636613158,-726.8934864658029,-721.3176357695557,-721.4893599772304,-723.4677428724132,2.4509672196532817,13.945225858688355,0.07507359339562966,0.1341240406036377,0.008653141023169726,2.2015538114709727,0.004498416873407935,3,2,87,0.7054546216959214,"{'estimator__gamma': 2.2015538114709727, 'estimator__learning_rate': 0.004498416873407935, 'estimator__max_depth': 3, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 87, 'estimator__subsample': 0.7054546216959214}"
1,-31.400022652360807,-24.288135954375456,-31.64102351779958,-28.63931310517177,-28.565698899719273,-28.911815240708684,2.653440119465264,1,-3.688969403668768,-4.065405156231265,-3.5380453260299958,-3.954324707242307,-3.7953686641799838,-3.808422651470464,0.18701379667740006,33.01112570762634,0.06683427944670729,0.2546541213989258,0.009362682167421293,3.226950715239293,0.03803652962220775,4,3,162,0.8867649402160509,"{'estimator__gamma': 3.226950715239293, 'estimator__learning_rate': 0.03803652962220775, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 162, 'estimator__subsample': 0.8867649402160509}"
2,-25.23335999108227,-17.810316820704948,-24.74801024753896,-23.285219000623993,-22.112462591310827,-22.643054341551263,2.65279104170668,1,-0.24090502181164958,-0.2746182502257392,-0.27075186965669046,-0.2572662465559435,-0.23414441205548214,-0.25553716006110094,0.01593934921531485,71.6492338180542,0.15326075461132835,0.5914618492126464,0.008466492124473592,0.7000967916664427,0.04409160224476225,6,4,264,0.7756393282172644,"{'estimator__gamma': 0.7000967916664427, 'estimator__learning_rate': 0.04409160224476225, 'estimator__max_depth': 6, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 264, 'estimator__subsample': 0.7756393282172644}"
3,-21.99401790064794,-17.008169192505253,-23.255259100400806,-21.12507244923711,-20.01375306385799,-20.681878619891332,2.119210072505272,1,-0.3128107172229029,-0.31380076597459305,-0.314486692547349,-0.3130317623556972,-0.31162297914496095,-0.3131505834491006,0.0009665533873357814,215.9119504928589,0.3494608092288625,0.7881499767303467,0.017839831961749927,4.01782378426542,0.047800531485066106,5,3,927,0.6546261581277683,"{'estimator__gamma': 4.01782378426542, 'estimator__learning_rate': 0.047800531485066106, 'estimator__max_depth': 5, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 927, 'estimator__subsample': 0.6546261581277683}"
4,-41.40037490031339,-33.83501884011142,-40.12996738494201,-38.31439754792612,-37.64328476249099,-38.2708677015543,2.5827817481094697,1,-13.06715911420863,-13.640726132885838,-12.802783439116048,-13.710164288251178,-13.25837536625852,-13.295841668144044,0.3427577509017991,33.17163395881653,0.2465503068349613,0.2474583625793457,0.005496380562136217,8.766965851331936,0.02036402463686951,4,4,169,0.7490634355630443,"{'estimator__gamma': 8.766965851331936, 'estimator__learning_rate': 0.02036402463686951, 'estimator__max_depth': 4, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 169, 'estimator__subsample': 0.7490634355630443}"
5,-24.82614685703939,-21.996833511697886,-27.678684439528364,-22.990073890149766,-22.157010045110614,-23.9315389644903,2.1252131646662336,1,-4.1103788694618695,-4.415803079704549,-4.066236954404885,-4.37712167677434,-4.067710842447327,-4.207450284558594,0.15562162093045503,57.8831045627594,0.07046481064571508,0.42595696449279785,0.01167962229607903,4.075605711843467,0.03539058655212477,3,4,367,0.6418885706999875,"{'estimator__gamma': 4.075605711843467, 'estimator__learning_rate': 0.03539058655212477, 'estimator__max_depth': 3, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 367, 'estimator__subsample': 0.6418885706999875}"
6,-21.068499778901014,-18.06610371706337,-23.93088835820262,-19.695483877839052,-19.37264383447218,-20.428004903047356,1.993676619134973,1,-1.7506701414364287,-1.8342201225847008,-1.708932424189655,-1.8593587243744554,-1.6548420785808213,-1.7616046982332123,0.07631649811262615,136.07798891067506,0.3522668797199374,1.1737331390380858,0.01910316487603996,0.21076069974344552,0.02485661618534506,3,3,911,0.5188368800924781,"{'estimator__gamma': 0.21076069974344552, 'estimator__learning_rate': 0.02485661618534506, 'estimator__max_depth': 3, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 911, 'estimator__subsample': 0.5188368800924781}"
7,-29.39705335784191,-22.24096424510442,-30.08014825948581,-27.630439249314335,-26.55132412684786,-27.184411132170208,2.7673403340793867,1,-1.2741832473952444,-1.3820307964490783,-1.186765122213993,-1.2793645524690636,-1.254774329573131,-1.275423609620102,0.06271982456635752,85.18469228744507,0.25355905428037384,0.5231016159057618,0.00832919417090376,7.284656804097237,0.03198544224396193,4,2,434,0.9797453136482898,"{'estimator__gamma': 7.284656804097237, 'estimator__learning_rate': 0.03198544224396193, 'estimator__max_depth': 4, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 434, 'estimator__subsample': 0.9797453136482898}"
8,-30.811998366508796,-27.181870487915216,-35.02034241528541,-27.782160721687564,-25.785220730204014,-29.31930393318684,3.2883218297187153,1,-8.728296292798074,-9.270980571474574,-8.64439457783678,-9.511795127429036,-9.090558331013002,-9.049204980110293,0.3261097987897728,97.77749404907226,0.19980666496332913,0.6874107837677002,0.022326433093559715,4.537130026614704,0.0225446224484365,2,2,807,0.6394424192048102,"{'estimator__gamma': 4.537130026614704, 'estimator__learning_rate': 0.0225446224484365, 'estimator__max_depth': 2, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 807, 'estimator__subsample': 0.6394424192048102}"
9,-24.382539181070815,-17.81674475308516,-24.967648333782044,-22.053145915656906,-21.101201292960173,-22.068883207258647,2.5597339029705624,1,-0.592247958883796,-0.6073911020270427,-0.5990578453118679,-0.5960921660601304,-0.5841045670502407,-0.5957787278666155,0.007673987864719239,134.54686813354493,0.2670959986473171,0.702998685836792,0.006339393704536279,5.83143999356338,0.04033598337558677,4,4,694,0.8086828643156018,"{'estimator__gamma': 5.83143999356338, 'estimator__learning_rate': 0.04033598337558677, 'estimator__max_depth': 4, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 694, 'estimator__subsample': 0.8086828643156018}"
